#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVT_MNM_20015_TT;You picked the wrong neighbor, my friends...;Il semble que vous ayez choisi le mauvais voisin...;Ihr habt euch die falschen Nachbarn ausgesucht, meine Freunde ...;;Escogisteis a la persona equivocada...;;;;;;;;;x
EVTDESC_MNM_7002_A;Meeting with [satanists_recruit.GetTitledFirstName], I made sure to only cautiously question the absolute power of [satanists_recruit.GetHerHis] almighty [satanists_recruit.Religion.GetHighGodName]... Thankfully, it seems that my carefully chosen words had the desired effect on [satanists_recruit.GetHerHim]. From [satanists_recruit.GetHerHis] glittering eyes I got the distinct impression that [satanists_recruit.GetSheHe] enjoyed the philosophical aspect of our conversion.;Parlant avec [satanists_recruit.Get_le_TitledFirstName], je mets prudemment en doute le pouvoir absolu [satanists_recruit.Get_du_HighGod]... Heureusement, il semble que mes mots, choisis avec prudence, ont eu l'effet désiré sur [satanists_recruit.GetLuiElle]. Ses yeux étincelants m'ont donné la nette impression qu'[satanists_recruit.GetIlElle] aimait l'aspect philosophique de notre conversion.;Bei dem Treffen mit [satanists_recruit.GetTitledFirstName] vergewisserte ich mich, nur vorsichtig die absolute Macht von [satanists_recruit.GetHerHis]em allmächtigen Gott in Frage zu stellen ... Glücklicherweise schienen meine sorgfältig gewählten Worte den gewünschten Effekt auf [satanists_recruit.GetHerHim] zu haben. [satanists_recruit.GetHerHisCap]e strahlenden Augen machten mir besonders den Eindruck, dass [satanists_recruit.GetSheHe] die philosophischen Aspekte unserer Konversation zu schätzen wusste.;;En el encuentro con [satanists_recruit.GetTitledFirstName] cuestioné con cautela el poder absoluto de su dios, [satanists_recruit.Religion.GetHighGodName]. Afortunadamente, parece que mis palabras tuvieron el efecto deseado, pude ver en sus ojos que le interesaba el tono filosófico de nuestra conversación.;;;;;;;;;x
EVTDESC_MNM_7002_B;Meeting with [satanists_recruit.GetTitledFirstName], I made sure to only cautiously question the absolute power of [satanists_recruit.GetHerHis] almighty [satanists_recruit.Religion.GetHighGodName]... Regretfully, it seems that my words only irritated my [satanists_recruit.GetRootRelation] – from the steely look [satanists_recruit.GetSheHe] finally gave me, I should probably steer clear of [satanists_recruit.GetHerHim] for now.;Parlant avec [satanists_recruit.Get_le_TitledFirstName], je mets prudemment en doute le pouvoir absolu [satanists_recruit.Get_du_HighGod]... Malheureusement, il semble que mes mots ont seulement irrité m[satanists_recruit.GetOnA] [satanists_recruit.GetRootRelation]. Avec le regard glacial qu'[satanists_recruit.GetIlElle] m'a lancé, je devrais vraisemblablement me tenir éloigné[Root.Get_E] d[satanists_recruit.GetEluiElle] pour l'instant.;Bei dem Treffen mit [satanists_recruit.GetTitledFirstName] vergewisserte ich mich, nur vorsichtig die absolute Macht von [satanists_recruit.GetHerHis]em allmächtigen Gott in Frage zu stellen ... Leider schienen meine Worte [satanists_recruit.GetTitledFirstName] nur zu irritieren. Dem eisernen Blick nach zu urteilen, den [satanists_recruit.GetSheHe] mir zuwarf, sollte ich [satanists_recruit.Getihmihr] wohl vorerst aus dem Weg gehen.;;En el encuentro con [satanists_recruit.GetTitledFirstName] cuestioné con cautela el poder absoluto de su dios, [satanists_recruit.Religion.GetHighGodName]. Lamentablemente, creo que mis palabras irritaron a mi [satanists_recruit.GetRootRelation]. Me lanzó una mirada helada que me dio a entender que debo alejarme por ahora.;;;;;;;;;x
EVTDESC_MNM_7002_C;Meeting with [satanists_recruit.GetTitledFirstName], I made sure to only cautiously mention the most extreme and unsavory practices of our rituals... Thankfully, it seems that my carefully chosen words had the desired effect on [satanists_recruit.GetHerHim]. From [satanists_recruit.GetHerHis] glittering eyes I got the distinct impression that [satanists_recruit.GetSheHe] enjoyed the promise of titillating experiences within our congregation.;Rencontrant [satanists_recruit.Get_le_TitledFirstName], je me suis assuré[Root.Get_E] de ne mentionner que prudemment les pratiques extrêmes et douteuses de nos rituels... Heureusement, il semble que mes mots, choisis avec soin, aient eu l'effet désiré sur [satanists_recruit.GetLuiElle]. J'ai eu la nette impression en voyant ses yeux scintiller qu'[satanists_recruit.GetIlElle] a aimé l'idée de faire des expériences émoustillantes au sein de notre congrégation.;Bei dem Treffen mit [satanists_recruit.GetTitledFirstName] stellte ich sicher, die extremsten und unheiligsten Praktiken unserer Rituale nur vorsichtig zu erwähnen... Glücklicherweise schienen meine sorgfältig gewählten Worte den gewünschten Effekt auf [satanists_recruit.Getihnsie] zu haben. [satanists_recruit.GetHerHisCap]e strahlenden Augen machten mir besonders den Eindruck, dass [satanists_recruit.GetSheHe] die philosophischen Aspekte unserer Konversation zu schätzen wusste.;;Al reunirme con [satanists_recruit.GetTitledFirstName] me aseguré de solo mencionar cautelosamente las prácticas más extremas y desagradables de nuestros rituales… Por suerte, parece que las palabras cuidadosamente escogidas le causaron el efecto deseado. Viendo cómo centelleaban sus ojos, tuve la clara impresión de que disfrutaba con la promesa de experiencias excitantes dentro de nuestra congregación.;;;;;;;;;x
EVTDESC_MNM_7002_D;Meeting with [satanists_recruit.GetTitledFirstName], I made sure to only cautiously mention the most extreme and unsavory practices of our congregation... Regretfully, it seems that my words only irritated my [satanists_recruit.GetRootRelation] – from the steely look [satanists_recruit.GetSheHe] finally gave me, I should probably steer clear of [satanists_recruit.GetHerHim] for now.;Rencontrant [satanists_recruit.Get_le_TitledFirstName], je me suis assuré[Root.Get_E] de ne mentionner que prudemment les pratiques extrêmes et douteuses de nos rituels... Malheureusement, il semble que mes mots n'ont fait qu'irriter m[satanists_recruit.GetOnA] [satanists_recruit.GetRootRelation]. Compte tenu du regard d'acier qu'[satanists_recruit.GetIlElle] m'a lancé, je ferais probablement mieux de l'éviter pour le moment.;Bei dem Treffen mit [satanists_recruit.GetTitledFirstName] stellte ich sicher, die extremsten und unheiligsten Praktiken unserer Rituale nur vorsichtig zu erwähnen... Leider schienen meine Worte [satanists_recruit.GetTitledFirstName] nur zu irritieren. Dem eisernen Blick nach zu urteilen, den [satanists_recruit.GetSheHe] mir zuwarf, sollte ich [satanists_recruit.Getihmihr] wohl vorerst aus dem Weg gehen.;;Al reunirme con [satanists_recruit.GetTitledFirstName] me aseguré de solo mencionar cautelosamente las prácticas más extremas y desagradables de nuestros rituales… Por desgracia, parece que mis palabras no hicieron más que disgustar a mi [satanists_recruit.GetRootRelation]. Viendo la dureza de su mirada, creo que por ahora debo mantenerme lejos de [satanists_recruit.GetElElla].;;;;;;;;;x
EVTDESC_MNM_7003_A;Walking the palisades of my [Root.GetCapitalHolding] I am joined by [satanists_recruiter.GetTitledFirstName]. I find myself agreeing with a lot of the concepts [satanists_recruiter.GetSheHe] presents – the futility of prayer particularly resonates with me. Suddenly, [satanists_recruiter.GetSheHe] turns to me and presses a small leather pouch into my hand. "My [Root.GetLordLady], will you carry this with you, for protection?";Longeant les palissades [Root.GetCapitalHoldingDuDela], je suis rejoint[Root.Get_E] par [satanists_recruiter.Get_le_TitledFirstName]. Je suis d'accord avec les nombreuses idées qu'[satanists_recruiter.GetIlElle] évoque – l'inutilité de la prière résonne particulièrement en moi. Soudain, [satanists_recruiter.GetIlElle] se tourne vers moi, et met dans ma main un petit étui en cuir. « M[Root.GetOnA][Root.GetLordLady], garderez-vous ceci, comme protection ? »;Bei einem Spaziergang über die Palisaden meines Heims schließt sich mir [satanists_recruiter.GetTitledFirstName] an. Ich bemerke, dass ich vielen Konzepten, die [satanists_recruiter.GetSheHe] mir vorstellt, zustimme. Die Sinnlosigkeit von Gebeten ist mir dabei besonders geläufig. Plötzlich wendet [satanists_recruiter.GetSheHe] sich mir zu und drückt mir einen kleinen Lederbeutel in die Hand. "M[Root.Geteineine] [Root.GetLordLady], werdet Ihr das zu Eurem Schutz bei Euch tragen?";;Mientras daba un paseo con [satanists_recruiter.GetTitledFirstName] por la empalizada me he dado cuenta de que estoy de acuerdo con muchas de las ideas que me plantea, sobre todo en la futilidad de rezar. De repente, se ha acercado y me ha dado un pequeño zurrón de cuero. "¿Me harás el favor de llevar esto para protegerte?".";;;;;;;;;x
EVTDESC_MNM_7004_A;I've arranged a run-in with [satanists_recruit.GetTitledFirstName] on the palisades of [satanists_recruit.GetHerHis] [satanists_recruit.GetCapitalHolding] today. [satanists_recruit.GetHerHisCap] face lights up upon seeing me and we stay out talking for hours. I offer [satanists_recruit.GetHerHim] a protection spell, in a leather pouch – of course, I do not explain the content... Yet [satanists_recruit.GetSheHe] smiles, accepting the token.;J'ai arrangé une rencontre avec [satanists_recruit.Get_le_TitledFirstName] au niveau des palissades [satanists_recruit.GetCapitalHoldingDuDela] aujourd'hui. Son regard s'illumine en me voyant et nous restons dehors à parler pendant des heures. Je lui offre un sort de protection, dans un étui en cuir – bien sûr, je n'explique pas le contenu... Pourtant, [satanists_recruit.GetIlElle] sourit, et accepte le cadeau symbolique.;Ich habe für heute ein Treffen mit [satanists_recruit.GetTitledFirstName] auf den Palisaden [satanists_recruit.GetHerHis]es Wohngebiets arrangiert. [satanists_recruit.GetHerHisCap] Gesicht erstrahlt, als [satanists_recruit.GetSheHe] mich sieht, und wir unterhalten uns stundenlang im Freien. Ich biete [satanists_recruit.Getihmihr] einen Schutzzauber in einem Lederbeutel an. Natürlich verschweige ich den Inhalt ... Dennoch lächelt [satanists_recruit.GetSheHe] und nimmt das Geschenk an.;;He organizado un encuentro con [satanists_recruit.GetTitledFirstName] en la empalizada. Cuando me ha visto se le ha iluminado la cara y hemos hablado durante horas. Le he ofrecido un hechizo de protección en un zurrón de cuero. Eso sí, no le he explicado lo que contiene. Lo ha aceptado con una sonrisa.;;;;;;;;;x
EVTDESC_MNM_7005_ALT2;"What if I told you I can set you free from all the tedium and responsibilities of society?" [satanists_recruiter.GetFirstName] continues, throwing a cautious glance around us before pulling up [satanists_recruiter.GetHerHis] sleeve, revealing a scar in the shape of [satanists_recruiter.GetDWDevil]'s mark. "I can show you a world of pure passion where your every pleasure is distilled to its purest form...";« Et si je vous disais que je peux vous libérer de tout l'ennui et des responsabilités de la société ? », poursuit [satanists_recruiter.GetFirstName], tout en jetant un coup d'oeil autour de nous, avant de remonter sa manche, révélant une cicatrice de la forme du symbole [satanists_recruiter.GetDWDevilDuDela]. « Je peux vous montrer un monde de pure passion où chacun de vos plaisirs sera élevé vers sa forme la plus pure... »;"Was, wenn ich Euch sagte, dass ich Euch von der ganzen Langeweile und Verantwortung der Gesellschaft befreien kann?" [satanists_recruiter.GetFirstName] wirft, ehe [satanists_recruiter.GetSheHe] fortfährt, einen fragenden Blick in die Runde. Dann krempelt [satanists_recruiter.GetSheHe] einen Ärmel hoch, unter dem eine Narbe in der Form des Zeichens von [satanists_recruiter.GetDWDevil] zum Vorschein kommt. "Ich kann Euch eine Welt aus reiner Leidenschaft zeigen, in der jedes Vergnügen in seiner reinsten Form ausgeübt wird....";;¿Y si te dijera que puedes liberarte de todo el tedio y responsabilidades de la sociedad?, sigue [satanists_recruiter.GetFirstName], echando un vistazo cauteloso a nuestro alrededor antes de subirse la manga, mostrando una cicatriz en forma de la señal de [satanists_recruiter.GetDWDevil]. "Puedo mostrarte un mundo de pura pasión, donde todo placer es destilado a su forma más pura…";;;;;;;;;x
EVTDESC_MNM_7005_ALT;"What if I told you that all you have been taught to believe in is a lie?" [satanists_recruiter.GetFirstName] continues, throwing a cautious glance around us before pulling up [satanists_recruiter.GetHerHis] sleeve, revealing a scar in the shape of [satanists_recruiter.GetDWDevil]'s mark. "[Root.Religion.GetHighGodNameCap] is a liar. Reject the Tyrant deity and let [satanists_recruiter.GetDWDevil] guide your steps...";« Et si je vous disais que tout ce qu'on vous a poussé à croire était un mensonge ? », poursuit [satanists_recruiter.GetFirstName], tout en jetant un coup d'oeil autour de nous, avant de remonter sa manche, révélant une cicatrice de la forme du symbole [satanists_recruiter.GetDWDevilDuDela]. « [Root.Get_Le_HighGod] a menti. Rejetez la divinité tyrannique et laissez [Root.Religion.GetRandomEvilGodName] guider vos pas... »;"Was, wenn ich Euch sagte, dass alles, woran Ihr glaubt, nichts als Lüge ist?" [satanists_recruiter.GetFirstName] wirft, ehe [satanists_recruiter.GetSheHe] fortfährt, einen fragenden Blick in die Runde. Dann krempelt [satanists_recruiter.GetSheHe] einen Ärmel hoch, unter dem eine Narbe in der Form des Zeichens von [satanists_recruiter.GetDWDevil] zum Vorschein kommt. "[Root.Religion.GetHighGodNameCap] ist ein Lügner! Entsagt dem Tyrannengott! Lasst [satanists_recruiter.GetDWDevil] Eure Wege leiten ...";;"Tras echar una mirada furtiva alrededor, [satanists_recruiter.GetFirstName] ha susurrado: "¿Y si te dijera que todas las creencias que te han enseñado son mentira?". Se ha levantado la manga y me ha mostrado una cicatriz con forma de la marca de [satanists_recruiter.GetDWDevil]. [Root.Religion.GetHighGodNameCap] miente. "Reniega de esa deidad tirana y deja que [satanists_recruiter.GetDWDevil] guíe tu camino...".";;;;;;;;;x
EVTDESC_MNM_7006;When I revealed the brand on my lower arm, expecting the final hook to sink in, [satanists_recruit.GetFirstName] staggered backwards in shock and made a hand gesture for protection. "That is blasphemy, [Root.GetFirstName]" [satanists_recruit.GetSheHe] said, eyes wide. "Leave my sight, before I call the guards!" [satanists_recruit.GetSheHe] called and it was with reluctance, albeit hastily, that I left.;Lorsque j'ai révélé la marque sur mon avant-bras, m'attendant à ce que [satanists_recruit.GetFirstName] morde enfin à l'hameçon, [satanists_recruit.GetIlElle] a eu un mouvement de recul et fait un geste de la main comme protection. « C'est un blasphème, [Root.GetFirstName] », dit-[satanists_recruit.GetIlElle], les yeux grands ouverts. « Hors de ma vue avant que je n'appelle les gardes ! crie-t-[satanists_recruit.GetIlElle]. Je m'en vais donc, avec réticence, mais à la hâte.;Als ich das Zeichen auf meinem Unterarm offenbarte, in der Erwartung, dass alles nach Plan lief, stolperte [satanists_recruit.GetFirstName] plötzlich schockiert zurück und machte mit der Hand eine schützende Geste. "Das ist Blasphemie, [Root.GetFirstName]", sagte [satanists_recruit.GetSheHe] mit großen Augen. "Geh mir aus den Augen, bevor ich die Wachen rufe!", schrie [satanists_recruit.GetSheHe], und hastig, aber zähneknirschend, machte ich mich von dannen.;;Cuando le he enseñado a [satanists_recruit.GetFirstName] la marca que llevo en el antebrazo, ha dado un paso atrás con una mueca de horror y ha hecho un gesto de protección con la mano. "Eso es una blasfemia, [Root.GetFirstName]", ha dicho con los ojos como platos. "¡Vete de aquí antes de que llame a los guardias!". He titubeado y he acabado huyendo.";;;;;;;;;x
EVTDESC_MNM_7007;When I proceeded to reveal the brand on my lower arm, certain that the final hook would sink in, [satanists_recruit.GetFirstName] inhaled sharply, worrying me for a second. "You truly are a [Root.GetDWMagician] then", [satanists_recruit.GetSheHe] says, eager and relieved. "Can you help me [satanists_recruit.GetDWReasonToJoin]?" [satanists_recruit.GetSheHe] continues, eyes pleading.;Quand j'ai commencé à révéler la marque sur mon avant-bras, persuadé[Root.Get_E] que [satanists_recruit.GetFirstName] mordra enfin à l'hameçon, [satanists_recruit.GetIlElle] a inspiré brusquement, m'inquiétant pendant une seconde. « Vous êtes vraiment un[Root.Get_E] [Root.GetDWMagician] alors », dit-[satanists_recruit.GetIlElle], mêlant l'empressement au soulagement. « M'aideriez-vous à [satanists_recruit.GetDWReasonToJoin] ? » poursuit-[satanists_recruit.GetIlElle], les yeux implorants.;Als ich das Zeichen auf meinem Unterarm offenbarte, in der Erwartung, dass alles nach Plan lief, atmete [satanists_recruit.GetFirstName] plötzlich tief ein, was mir kurz Sorgen bereitete. "Du bist wahrlich [Root.Geteineine] [Root.GetDWMagician]", sagte [satanists_recruit.GetSheHe] neugierig und erleichtert. "Kannst du mir helfen, [satanists_recruit.GetDWReasonToJoin]?", fragte [satanists_recruit.GetSheHe] mit flehenden Augen.;;Cuando le he enseñado a [satanists_recruit.GetFirstName] la marca que llevo en el antebrazo, ha lanzado un grito ahogado y me he temido lo peor. Entonces ha preguntado en tono ansioso: "¿De verdad practicas la brujería? ¿Puedes ayudarme a [satanists_recruit.GetDWReasonToJoin]?". He suspirado con alivio.";;;;;;;;;x
EVTDESC_MNM_7018;When I wake up the cloaked figures are gone and [satanists_inductor.GetFirstName] is lying next to me, a smile tugging at the corner of [satanists_inductor.GetHerHis] mouth. "Welcome to [satanists_inductor.Society.GetName],  [Root.GetTitledFirstName]", [satanists_inductor.GetSheHe] says. I hold [satanists_inductor.GetHerHim] close, wondering how I will look back on this moment.;Quand je me réveille, les personnes vêtues d'une grande cape sont parties, et [satanists_inductor.GetFirstName] est à côté de moi, avec un sourire de satisfaction. « Bienvenue parmi [satanists_inductor.Get_le_Society], [Root.GetTitledFirstName] », dit-[satanists_inductor.GetIlElle]. Je [satanists_inductor.GetLeLa] tiens le plus près possible, en me demandant comment je repenserai à ce moment.;Als ich erwache, sind die verhüllten Gestalten fort und [satanists_inductor.GetFirstName] liegt neben mir, [satanists_inductor.GetHerHis]e Mundwinkel zu einem Lächeln zugespitzt. "Willkommen beim Zirkel, [Root.GetFirstName]", sagt [satanists_inductor.GetSheHe]. Ich drücke [satanists_inductor.GetHerHim] fest an mich und frage mich, wie ich auf diesen Moment zurückblicken werde.;;Cuando me he despertado, las figuras encapuchadas habían desaparecido y [satanists_inductor.GetFirstName] estaba a mi lado con una sonrisa en los labios. "Te doy la bienvenida al aquelarre, [Root.GetFirstName]", ha dicho. Nos hemos abrazado. Me pregunto si me arrepentiré de esto.";;;;;;;;;x
EVTDESC_MNM_7020;[satanists_inductor.Society.GetNameCap] might not be as bad as I thought, I muse to myself. I sometimes wonder what would have happened had I decided to join them. And I wonder where that beautiful creature went off to. Some ungodly adventure, surely.;[satanists_inductor.Society.GetNameCap] pourraient ne pas être aussi mauvais que je le pensais, me dis-je à moi-même. Je me demande parfois ce qui serait arrivé si j'avais décidé de les rejoindre. Et je me demande où cette belle créature est partie. Vers certaines aventures impies, sûrement.;Der "[satanists_inductor.Society.GetNameCap]"-Zirkel ist vielleicht nicht so schlimm, wie ich dachte, geht es mir durch den Kopf. Manchmal frage ich mich, was wohl passiert wäre, hätte ich mich dem Zirkel angeschlossen. Und ich frage mich, wohin es dieses wunderschöne Geschöpf wohl verschlagen hat. Bestimmt auf irgendein gottloses Abenteuer.;;Puede que la sociedad no esté tan mal. A veces me pregunto qué habría pasado si me hubiera unido a ellos y me pregunto qué habrá sido de aquel enigmático ser. Sin duda estará viviendo aventuras impías...;;;;;;;;;x
EVTDESC_MNM_7054;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. What was first the lightest of limps has now turned into a hideous deformity. When I rub my sore, twisted ankles, I can feel the darkness pulsing just under my skin...;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Ce qui était d'abord le plus léger des boitements est maintenant devenu une hideuse difformité. Quand je frotte mes chevilles douloureuses et tordues, je peux sentir l'obscurité frémir juste sous ma peau...;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Was als leichtes Hinken begann, ist jetzt zu einer abscheulichen Verunstaltung geworden. Wenn ich meine schmerzenden, verdrehten Knöchel massiere, kann ich die Dunkelheit dicht unter meiner Haut pulsieren spüren ...;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Lo que antes era una extremidad ligera se ha convertido en una deformidad abominable. Cuando me masajeo los tobillos, torcidos e hinchados, siento la oscuridad latiendo bajo mi piel...;;;;;;;;;x
EVTDESC_MNM_7056;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. At first, I thought the lines and blotches on my face were a temporary consequence of too many nightly adventures and too little sleep. Now I barely recognize myself in the mirror.;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Au début, je pensais que les rides et les taches sur mon visage étaient une conséquence temporaire d'un excès d'aventures nocturnes et du manque de sommeil. À présent, je me reconnais à peine dans le miroir.;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Zuerst hielt ich die Linien und Flecken in meinem Gesicht für eine vorübergehende Folge von zu vielen nächtlichen Abenteuern und zu wenig Schlaf. Jetzt erkenne ich mich im Spiegel kaum wieder.;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Al principio pensé que las líneas y las manchas de mi rostro serían una consecuencia temporal de tantas andanzas nocturnas y falta de sueño. Ahora, apenas puedo reconocerme en el espejo.;;;;;;;;;x
EVTDESC_MNM_7113_PLOTTING;As I and a group of my faithful make our way through the [desecration_holder.GetHouseOfWorship] in [dw_desecration_target.GetName] I spot a [desecration_holder.Religion.GetPriestTitle] tending to [desecration_holder.GetHerHis] duties in the middle of the night.;Alors que moi et un groupe de fidèles finissons par pénétrer à l'intérieur [desecration_holder.GetHouseOfWorshipDuDela] de [dw_desecration_target.GetName], je repère un [desecration_holder.Religion.GetPriestTitle] remplissant ses fonctions au milieu de la nuit.;Als ich und eine Gruppe Gläubiger durch das Gotteshaus in [dw_desecration_target.GetName] schreiten, entdecke ich eine(n) [desecration_holder.Religion.GetPriestTitle], [desecration_holder.Getderdie] mitten in der Nacht den Pflichten nachgeht.;;En cuanto hemos entrado en el templo de [dw_desecration_target.GetName] he visto a un/a [desecration_holder.Religion.GetPriestTitle] que estaba realizando sus tareas religiosas en mitad de la noche.;;;;;;;;;x
EVTDESC_MNM_7113_PLOTTING_HOLDER;As I and a group of my faithful make our way through the [desecration_holder.GetHouseOfWorship] in [dw_desecration_target.GetName] I spot [desecration_holder.GetTitledFirstName] tending to [desecration_holder.GetHerHis] duties in the middle of the night.;Alors que moi et un groupe de fidèles finissons par pénétrer à l'intérieur [desecration_holder.GetHouseOfWorshipDuDela] de [dw_desecration_target.GetName], je repère [desecration_holder.Get_le_TitledFirstName] remplissant ses fonctions au milieu de la nuit.;Als ich und eine Gruppe Gläubiger durch das Gotteshaus in [dw_desecration_target.GetName] schreiten, entdecke ich [desecration_holder.GetTitledFirstName], [desecration_holder.Getderdie] mitten in der Nacht [desecration_holder.GetHerHis]en Pflichten nachgeht.;;En cuanto hemos entrado en el templo de [dw_desecration_target.GetName] he visto a [desecration_holder.GetTitledFirstName], que estaba realizando sus tareas religiosas en mitad de la noche.;;;;;;;;;x
