syncretic_jaziri;Jaziri Syncretism;;;;;;;;;;;;x
syncretic_kahin;Kahin Syncretism;;;;;;;;;;;;x
syncretic_karontor;Karontoric Syncretism;;;;;;;;;;;;x
syncretic_kiaransalee;Kiaransaleen Syncretism;;;;;;;;;;;;x
syncretic_kossuth;Kossuthan Syncretism;;;;;;;;;;;;x
syncretic_laduguer;Ladugueran Syncretism;;;;;;;;;;;;x
syncretic_lolth;Lolthite Syncretism;;;;;;;;;;;;x
syncretic_loviatar;Loviatan Syncretism;;;;;;;;;;;;x
syncretic_maztica;Maztican Syncretism;;;;;;;;;;;;x
syncretic_nogari;Nogari Syncretism;;;;;;;;;;;;x
syncretic_orc;Orcish Syncretism;;;;;;;;;;;;x
syncretic_pantheist;Pantheist Syncretism;;;;;;;;;;;;x
syncretic_qisma;Qisma'ite Syncretism;;;;;;;;;;;;x
syncretic_sylvan;Sylvan Syncretism;;;;;;;;;;;;x
syncretic_thasmudyanic;Thasmudyanic Syncretism;;;;;;;;;;;;x
syncretic_tiamat;Tiamatan Syncretism;;;;;;;;;;;;x
syncretic_ubtao;Ubtaoan Syncretism;;;;;;;;;;;;x
syncretic_ulutiuan;Ulutiuan Syncretism;;;;;;;;;;;;x
syncretic_urdlen;Urdlenian Syncretism;;;;;;;;;;;;x
syncretic_uthgardt;Uthgardt Syncretism;;;;;;;;;;;;x
syncretic_vaprak;Vaprakan Syncretism;;;;;;;;;;;;x
syncretic_vhaeraun;Vhaeraunan Syncretism;;;;;;;;;;;;x
syncretic_yuir;Yuir Syncretism;;;;;;;;;;;;x
syncretic_triadic;Triadic Syncretism;;;;;;;;;;;;x
syncretic_rashemen;Rashemi Syncretism;;;;;;;;;;;;x
syncretic_chessic;Chessentan Syncretism;;;;;;;;;;;;x
syncretic_mercantile;Mercantile Syncretism;;;;;;;;;;;;x
syncretic_inventive;Inventive Syncretism;;;;;;;;;;;;x
syncretic_joyful;Joyful Syncretism;;;;;;;;;;;;x
syncretic_calishite;Calishite Syncretism;;;;;;;;;;;;x
syncretic_lapal;Lapal Syncretism;;;;;;;;;;;;x
syncretic_mulhorandi;Mulhorandi Syncretism;;;;;;;;;;;;x
syncretic_untheric;Untheric Syncretism;;;;;;;;;;;;x
syncretic_solar;Solar Syncretism;;;;;;;;;;;;x
syncretic_fury;Furious Syncretism;;;;;;;;;;;;x
syncretic_natural;Natural Syncretism;;;;;;;;;;;;x
syncretic_primordial;Primordial Syncretism;;;;;;;;;;;;x
syncretic_tuigan;Taangan Syncretism;;;;;;;;;;;;x
syncretic_martial;Martial Syncretism;;;;;;;;;;;;x
syncretic_deadthree;Triumvir Syncretism;;;;;;;;;;;;x
syncretic_shadow;Shadowed Syncretism;;;;;;;;;;;;x
syncretic_scale;Scaled Syncretism;;;;;;;;;;;;x
syncretic_padhran;Padhran Syncretism;;;;;;;;;;;;x
syncretic_shou;Shou-ling Syncretism;;;;;;;;;;;;x
syncretic_chung;Chung Tao Syncretism;;;;;;;;;;;;x
syncretic_9t;Traveller Syncretism;;;;;;;;;;;;x
syncretic_adama;Adama Syncretism;;;;;;;;;;;;x
syncretic_animist;Animist Syncretism;;;;;;;;;;;;x
syncretic_qukoku;Qukoku Syncretism;;;;;;;;;;;;x
syncretic_turm;Turm Syncretism;;;;;;;;;;;;x
syncretic_tashan;Tashan Syncretism;;;;;;;;;;;;x
