#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
frost_giant;Frost Giant;;;;;;;;;;;;;x
stone_giant;Stone Giant;;;;;;;;;;;;;x
storm_giant;Storm Giant;;;;;;;;;;;;;x
cloud_giant;Cloud Giant;;;;;;;;;;;;;x
hill_giant;Hill Giant;;;;;;;;;;;;;x
bugbear;Bugbear;;;;;;;;;;;;;x
hobgoblin;Hobgoblin;;;;;;;;;;;;;x
kenku;Kenku;;;;;;;;;;;;;x
tengu;Tengu;;;;;;;;;;;;;x
avian_group;Avian;;;;;;;;;;;;;x
planetouched_group;Planetouched;;;;;;;;;;;;;x
tiefling;Tiefling;;;;;;;;;;;;;x
genasi;Genasi;;;;;;;;;;;;;x
firegenasi;Fire Genasi;;;;;;;;;;;;;x
airgenasi;Air Genasi;;;;;;;;;;;;;x
watergenasi;Water Genasi;;;;;;;;;;;;;x
earthgenasi;Earth Genasi;;;;;;;;;;;;;x
genie_group;Genies;;;;;;;;;;;;;x
jann;Jann;;;;;;;;;;;;;x
dragonborn_group;Dragonborn;;;;;;;;;;;;;x
dragonborn;Dragonborn;;;;;;;;;;;;;x
strixiki;Strixiki;;;;;;;;;;;;;x
vayemniri;Vayemniri;;;;;;;;;;;;;x
thymari;Thymari;;;;;;;;;;;;;x
talfir;Talfir;;;;;;;;;;;;;x
shoon;Shoon;;;;;;;;;;;;;x
netherese;Netherese;;;;;;;;;;;;;x
reacher;Reacher;;;;;;;;;;;;;x
gugari;Gugari;;;;;;;;;;;;;x
svirfneblin;Svirfneblin;;;;;;;;;;;x
yugoloth;Yugoloth;;;;;;;;;;;x
