vassalize_sun_soul_desc;As an high ranking member of the Order of the Sun Soul and as a powerful ruler, you can bring the order into your realm as a vassal.;;;;;;;;;;;x
#
EVTDESC_SOA_1016;My liege, the Order of the Sun Soul stands ready to serve you in defense of the good people of Faerun! May the gods watch over you,\n\n [From.GetTitledFirstName];;;;;;;;;;x
#
EVTDESC_4405_KIND;Sometimes, I get this nice, pleasant, irrational feeling when I see other people happy. I know I shouldn't let it get to me...it's just a weak, pathetic natural instinct, ill suited to a merciless killer such as myself. Maybe I could be a little kinder to those close to me, in secret...to satisfy the urge?;;;;;;;;x
EVTOPTA_4405_KIND;No one needs to know.;;;;;;;;x
EVTOPTB_4405_KIND;This is how they get to you. No mercy.;;;;;;;;x
EVTDESC_4406_KIND;It worked. A little bit of kindness to those most close to me, and I could just go back to ignore everyone else. As I should.;;;;;;;;;x
EVTOPTA_4406_KIND;Finally.;;;;;;;;x
EVTDESC_4407_KIND;This is just embarassing. One act of kindness led to another, and I find myself giggling and smiling like an idiot. This is not who I am!;;;;;;;;x
EVTOPTA_4407_KIND;Shameful.;;;;;;;;x
EVTDESC_4408_KIND;Those irrational feelings of kindness are finally gone, and my heart is as stony and cold as it's supposed to be. I'll never let my emotions take control of me ever again.;;;;;;;;x
EVTOPTA_4408_KIND;Power is the only thing that matters.;;;;;;;;x
EVTDESC_4409_KIND;This isn't good...today, the young daughter of a farmer I recently executed for tax evasion came to court. Her genuine desperation moved me deeply, and I couldn't hold back tears...right in front of all my courtiers.;;;;;;;;x
EVTOPTA_4409_KIND;It's just so sad!;;;;;;;;x
#
EVTDESC_4405_ARBITRARY;When those I believe to be guilty somehow manage to escape punishment, I get angry. I know that true justice requires solid proof, but it would so much easier to forge a little bit of evidence here and there...at least when the culprit obviously deserves it!;;;;;;;;x
EVTOPTA_4405_ARBITRARY;Yes. The truly despicable deserve no quarter.;;;;;;;;x
EVTOPTB_4405_ARBITRARY;No! The legal system is fair, and it works.;;;;;;;;x
EVTDESC_4406_ARBITRARY;With just the slightest bit of manipulation and fabrication, no criminal can escape a guilty verdict. When backed into a corner, they all end up confessing, anyway, so I know I'm right!;;;;;;;;;x
EVTOPTA_4406_ARBITRARY;That was wise of me.;;;;;;;;x
EVTDESC_4407_ARBITRARY;This is so horrible. When my fabricated evidence was effortlessly countered by an ironclad alibi, I felt so ashamed of myself...;;;;;;;;x
EVTOPTA_4407_ARBITRARY;How could I be so wrong?;;;;;;;;x
EVTDESC_4408_ARBITRARY;Oh Lady Justice, how could I ever doubt you? Proving a culprit's guilt with a fair trial, without cheating, is so satisfying!;;;;;;;;x
EVTOPTA_4408_ARBITRARY;I AM the law!;;;;;;;;x
EVTDESC_4409_ARBITRARY;Laws are worthless, aren't they? As another criminal triumphally strides out of our courtroom, I am left to wonder that perhaps there is no justice in this world.;;;;;;;;x
EVTOPTA_4409_ARBITRARY;I'll take justice into my own hands.;;;;;;;;x
#
EVTDESC_4400_REMOVE_CHARITABLE;My wish to become a superior being has led me to the [Root.Society.GetName]. Since I joined, I've been focused on my own needs, my own objectives. Today I realized just how much easier it is to progress in life, when one is not distracted by the pointless needs of others.;;;;;;;;x
EVTDESC_4400_REMOVE_KIND;My wish to become a superior being has led me to the [Root.Society.GetName]. I have realized the importance of pragmatism. As the say, the end justifies the means.;;;;;;;;x
EVTDESC_4400_REMOVE_CONTENT;My wish to become superior being has led me to the [Root.Society.GetName]. It took time and effort, but I have realized the error of my ways. I will no longer ignore my desires. I won't be satisfied with my place in this world, I will strive for more.;;;;;;;;x
EVTDESC_4400_ADD_GREEDY;My wish to become a superior being has led me to the [Root.Society.GetName]. As I have followed this wise path, I have realized that the world and its riches belongs to those who are strong.;;;;;;;;x
EVTDESC_4400_ADD_CRUEL;My wish to become a superior being has led me to the [Root.Society.GetName]. Training under the merciless masters of the order, I have realized that true strength, true power can only be reached by resisting and mastering true pain. Inflicting pain on others is the only way to test their worth.;;;;;;;;x
EVTDESC_4400_ADD_AMBITIOUS;My wish to become superior being has led me to the [Root.Society.GetName]. From now on, I will strive to best, the greatest – I live to surpass anyone who has ever existed.;;;;;;;;x
EVTDESC_4400_REMOVE_ARBITRARY;My wish to become a superior being has led me to the [Root.Society.GetName]. For the longest time, I have scoffed at the universal concept of justice, but I have realized the error of my ways. Chaos is dangerous, and must be kept in check.;;;;;;;;x
EVTDESC_4400_ADD_JUST;My wish to become a superior being has led me to the [Root.Society.GetName]. Training under the enlightened masters of the order, I have realized how truly important the philosophical concept of Law is to the entire multiverse. Order must be maintained, everywhere.;;;;;;;;x
#
is_monastic_member_trigger_tooltip;Is a member of any monastic order;;;;;;;;x
##############
# LONG DEATH #
##############
monastic_order_long_death;Order of the Long Death;;;;;;;;;;;x
monastic_order_long_death_desc;The Order of the Long Death is a monastic order devoted to understanding every aspect related to the process of dying and the nature of death itself. They care little for the afterlife, and seek no deeper understanding of a soul's place in the greater cosmology, but rather the effects of death on intelligent beings and the achievement of 'perfect death'. They see this as the ultimate offering they could bestow upon any being who is deemed truly ready.;;;;;;;;;;;x
#
monastic_order_long_death_leader_desc;Each Abbot and Abbess is the head of their own monastery.;;;;;;;;;;;x
#
monastic_order_long_death_rank_1_female;Novice;;;;;;;;;;;x
monastic_order_long_death_rank_2_female;Sister;;;;;;;;;;;x
monastic_order_long_death_rank_3_female;Prioress;;;;;;;;;;;x
monastic_order_long_death_rank_4_female;Abbess;;;;;;;;;;;x
monastic_order_long_death_rank_1_male;Novice;;;;;;;;;;;x
monastic_order_long_death_rank_2_male;Brother;;;;;;;;;;;x
monastic_order_long_death_rank_3_male;Prior;;;;;;;;;;;x
monastic_order_long_death_rank_4_male;Abbot;;;;;;;;;;;x
#
currency_name_monastic_order_long_death;Inner Power;;;;;;;;;;;x
#
monastic_order_long_death_tt_rank1;Novices are the newest members of the order. They most likely have much to learn.;;;;;;;;;;;x
#
monastic_order_long_death_tt_rank2;Brothers and Sisters are the regular members of the order.;;;;;;;;;;;x
#
monastic_order_long_death_tt_rank3;Priors and Prioresses are a monastic superior, lower in rank than an Abbot.;;;;;;;;;;;x
#
monastic_order_long_death_tt_rank4;Each Abbot and Abbess are the head of their own monastery.;;;;;;;;;;;x
#
##############
# EMPTY HAND #
##############
monastic_order_empty_hand;Warriors of the Empty Hand;;;;;;;;;;;x
monastic_order_empty_hand_desc;The Warriors of the Empty Hand is a loose association of martial artists from across Kara-Tur. They practice a range of esoteric techniques which make them among the most renowned warriors in the Realms. Although they belong to several competing traditions, the Warriors are united by a desire for self-improvement through martial discipline.;;;;;;;;;;;x
#
monastic_order_empty_hand_leader_desc;Several masters, each an acknowledged expert in their own tradition, are the foremost disciples of the Empty Hand.;;;;;;;;;;;x
#
monastic_order_empty_hand_rank_1_female;Student;;;;;;;;;;;x
monastic_order_empty_hand_rank_2_female;Initiate;;;;;;;;;;;x
monastic_order_empty_hand_rank_3_female;Disciple;;;;;;;;;;;x
monastic_order_empty_hand_rank_4_female;Mistress;;;;;;;;;;;x
monastic_order_empty_hand_rank_1_male;Student;;;;;;;;;;;x
monastic_order_empty_hand_rank_2_male;Initiate;;;;;;;;;;;x
monastic_order_empty_hand_rank_3_male;Disciple;;;;;;;;;;;x
monastic_order_empty_hand_rank_4_male;Master;;;;;;;;;;;x
#
currency_name_monastic_order_empty_hand;Ki;;;;;;;;;;;x
#
monastic_order_empty_hand_tt_rank1;Students are those who have come to seek the wisdom of the Masters of the Empty Hand.;;;;;;;;;;;x
#
monastic_order_empty_hand_tt_rank2;Initiates of the Empty Hand have fulfilled the first serious challenges placed before them by the Masters.;;;;;;;;;;;x
#
monastic_order_empty_hand_tt_rank3;Disciples ae those who dedicate their lives to mastering the disciplines of the Empty Hand.;;;;;;;;;;;x
#
monastic_order_empty_hand_tt_rank4;The Masters and Mistresses of the Empty Hand each lead a distinctive school of martial artists.;;;;;;;;;;;x
#
#############
# OLD ORDER #
#############
monastic_order_old_order;Old Order;;;;;;;;;;;x
monastic_order_old_order_desc;Monks of the Old Order are dedicated to the philosophy espoused by a certain mysterious deity, that is either deceased or has never existed on Toril's Material Plane. The monks consider the deity's identity unimportant, instead caring only about their message. Members of the Old Order enjoy philosophical debates and introspection, and they don't generally take sides in conflicts between good and evil.;;;;;;;;;;;x
#
monastic_order_old_order_leader_desc;Each Abbot and Abbess are the head of their own monastery.;;;;;;;;;;;x
#
monastic_order_old_order_rank_1_female;Novice;;;;;;;;;;;x
monastic_order_old_order_rank_2_female;Sister;;;;;;;;;;;x
monastic_order_old_order_rank_3_female;Prioress;;;;;;;;;;;x
monastic_order_old_order_rank_4_female;Abbess;;;;;;;;;;;x
monastic_order_old_order_rank_1_male;Novice;;;;;;;;;;;x
monastic_order_old_order_rank_2_male;Brother;;;;;;;;;;;x
monastic_order_old_order_rank_3_male;Prior;;;;;;;;;;;x
monastic_order_old_order_rank_4_male;Abbot;;;;;;;;;;;x
#
currency_name_monastic_order_old_order;Inner Power;;;;;;;;;;;x
#
monastic_order_old_order_tt_rank1;Novices are the newest members of the order. They most likely have much to learn.;;;;;;;;;;;x
#
monastic_order_old_order_tt_rank2;Brothers and Sisters are the regular members of the order.;;;;;;;;;;;x
#
monastic_order_old_order_tt_rank3;Priors and Prioresses are a monastic superior, lower in rank than an Abbot.;;;;;;;;;;;x
#
monastic_order_old_order_tt_rank4;Each Abbot and Abbess are the head of their own monastery.;;;;;;;;;;;x
#
#######
# NOG #
#######
monastic_order_nog;Mystics of Nog;;;;;;;;;;;x
monastic_order_nog_desc; .;;;;;;;;;;;x
#
monastic_order_nog_leader_desc; .;;;;;;;;;;;x
#
monastic_order_nog_rank_1_female; ;;;;;;;;;;;x
monastic_order_nog_rank_2_female; ;;;;;;;;;;;x
monastic_order_nog_rank_3_female; ;;;;;;;;;;;x
monastic_order_nog_rank_4_female; ;;;;;;;;;;;x
monastic_order_nog_rank_1_male; ;;;;;;;;;;;x
monastic_order_nog_rank_2_male; ;;;;;;;;;;;x
monastic_order_nog_rank_3_male; ;;;;;;;;;;;x
monastic_order_nog_rank_4_male; ;;;;;;;;;;;x
#
currency_name_monastic_order_nog;Ki;;;;;;;;;;;x
#
monastic_order_nog_tt_rank1; .;;;;;;;;;;;x
#
monastic_order_nog_tt_rank2; .;;;;;;;;;;;x
#
monastic_order_nog_tt_rank3; .;;;;;;;;;;;x
#
monastic_order_nog_tt_rank4; .;;;;;;;;;;;x
#
